veseliti se,to be happy
Tko prizna. pola mu se prašta,Who confesses. half is forgiven
lagati (to lie) / lagjem (I lie),To lie
Pridjevi (adjectives),Adjectives
Oba,both
kišovito/kišno,Rainy
Sunčano,sunny
Provjera,check
Ne sviđa mi se,I don't like
imenica,Noun
glagol,Verb
prilog,Adverb
Konja,To ride a horse
voziti,To drive
Povratak,return
Podne,noon
novac,money
Podrum,cellar/basement
tavan,attic
Zanimljivo,interesting
Posebno,special
Društvena,social
Opustiti se (to relax) / opušten (relaxed),To relax / relaxed
Opisati,to describe
ispraviti,to correct
Vjeverica,squirrel
Poziv,call/invitation
Nabildan,muscular
Debeo,fat
Doista,truly
Svjetlost,light
Iznenađen,surprised
Sresti,to meet
zbuniti,to confuse
ode,it goes
evo,here it is
onakvo,like that
zrno,grain
rašte,grow
Polje,field
Riješiti,to solve
ječma,barley
kakvo,what kind of
Sejak,since
Derati,to skin/tear
Neboder,skyscraper
cvijet-cvijeće,Flower(s)
Zaustaviti,to stop
Prljavština,dirt
Bajka,fairy tale
Vještica,witch
Gorak,bitter
uskoro,soon
Surađivati,to cooperate
Istraživanje,research
Potvrditi,to confirm
onako,like that
većina,most
Žarko,intensely
rasti,to grow
seljak,peasant
posaditi,to plant
zaliti,to water
Pješke/pješice,On foot
mrak,darkness
Tih,quiet
upaliti/ugasiti svjetlo,to turn on/off the light
raspored,schedule
svitati,to dawn
Nisam znao hoću li morati putovati,I didn't know if I would have to travel
triput tjedno,three times a week
sladak,sweet
siguran,safe
zadatak,task
brzina nije vrlina,speed is not a virtue
promijeniti,to change
donijeti,to bring
ukusan,tasty
senf,mustard
dečko,boyfriend
baviti se,to engage in
nogomet,football/soccer
trčati,to run
oženiti se,to get married
ponositi se,to be proud
prst,finger
kemijska olovka,ballpoint pen
Hodnik,hallway
Nula,zero
Voće,fruit
Povrće,vegetables
Zamrzivač,freezer
pospan,sleepy
osjećati se,to feel
kolega s posla,coworker
korisnik,user
objasniti,to explain
zijevati,to yawn
zarazan,contagious
zaspati,to fall asleep
spor,slow
nekoliko,few
citirati,to quote
Citiranje,quotation
whale,kit
jetra,liver
pušiti,to smoke
boring,dosadno
plesati (to dance) / Plešem (I dance),to dance / I dance
odmarati se,to rest
odmoriti se,to rest
snimiti,to record
snijeg,snow
couple,par
Ima smisla,It makes sense
skup,expensive
zvijezda,star
otok,island
zaručiti se,to be engaged
trag,lead
sretno,good luck
pomoć,help
Mijenjati,to substitute/to change
Vrijedno,valuable
Drugačiji/različit,different
Lud,crazy
dnevno,per day
Ponašati se,to behave
Bogat (rich) / Najbogatiji (richest),rich / richest
Jadan (poor),poor
Odavde,from here
Uvezao,imported
Uvesti,to introduce
Tvrđava,fortress
Dvorac,castle
Kralj,king
Povijest,history
U isto vrijeme,at the same time
Svatko,everyone
Do kuda si došao u knjizi?,How far have you come in the book?
Rezati,to cut
Košnica,hive
Steršljen,hornet
Ris,bobcat
Postojati,to exist
Postati (to become) / Postajati (to become),to become / to become
Nedavno,recently
Odlučiti,to decide
Zvučati,to sound
Tražiti,to look for
Obala,coast
Moć,power
Saznati,to find out
Udaljeno,away/remotely
Odmor,vacation/rest
Godišnji,annual
